id;ticket_number;owner_name;owner_type;status;category;people_ahead;estimated_wait_minutes;item_count;served_at;cancelled_at;created_date;last_modified_date;salon_id
20;6836;spécialiste planquer tandis que;RELATIVE;CANCELLED;ACTIVE;4097;20902;16812;2026-08-21T18:25:15;2026-08-22T01:31:43;2026-08-22T17:35:10;2026-08-21T22:06:21;20
21;8600;distraire outre jusque;CUSTOM;CANCELLED;HISTORY;30638;11539;9972;2026-08-22T02:56:13;2026-08-21T19:54:41;2026-08-22T16:21:30;2026-08-22T03:31:58;21
22;14242;autrement;SELF;SERVED;HISTORY;26815;22105;22937;2026-08-22T04:49:37;2026-08-22T17:23:09;2026-08-22T11:41:08;2026-08-22T09:39:09;22
23;8806;retomber;RELATIVE;WAITING;ACTIVE;17619;22010;25422;2026-08-22T08:30:39;2026-08-22T00:44:20;2026-08-22T12:17:12;2026-08-22T00:39:38;23
24;11589;coupable diplomate tandis que;RELATIVE;SERVED;ACTIVE;23160;11743;15464;2026-08-22T01:59:44;2026-08-22T09:34:43;2026-08-22T10:52:26;2026-08-22T12:41:33;24
25;26640;même si ding;SELF;SERVED;HISTORY;15768;22585;27602;2026-08-22T01:15:20;2026-08-21T19:52:53;2026-08-22T12:35:13;2026-08-21T18:42:02;25
26;3784;quoique;RELATIVE;COMPLETED;ACTIVE;15322;4538;4610;2026-08-22T10:31:50;2026-08-22T00:34:28;2026-08-22T13:32:34;2026-08-21T20:15:35;26
27;32413;étant donné que;RELATIVE;CANCELLED;ACTIVE;8649;8432;22977;2026-08-21T21:24:09;2026-08-22T17:04:06;2026-08-22T17:22:29;2026-08-22T04:19:58;27
28;3323;ding;RELATIVE;WAITING;HISTORY;22418;4345;19826;2026-08-21T20:52:08;2026-08-22T01:52:30;2026-08-21T23:39:39;2026-08-22T10:28:00;28
29;19027;toc;CUSTOM;WAITING;ACTIVE;30593;13786;6534;2026-08-22T14:12:23;2026-08-22T16:11:27;2026-08-22T12:20:49;2026-08-22T17:33:33;29
30;28080;assez camarade;CUSTOM;COMPLETED;HISTORY;32043;8194;18983;2026-08-22T06:33:43;2026-08-22T09:00:00;2026-08-22T01:08:11;2026-08-22T07:36:51;30
