id;name;slug;location;district;address;status;phone;opening_hours;estimated_wait_minutes;people_waiting;avatar_url;cover_url;latitude;longitude;active;created_date;last_modified_date
16;gestionnaire patientèle;ouah hi;marquer présidence antique;soudain;dedans;OPEN;0291652098;au-dessus de;13391;13155;réveiller;souvent crac pourpre;7310.82;25383.07;false;2026-08-22T03:52:13;2026-08-22T01:11:17
17;serviable;tendre communauté étudiante;énergique entreprendre;évoquer sans que;plic avare debout;OPEN;+33 575192995;ouin;22429;19524;à cause de;tout que défier;11588.03;32173.17;false;2026-08-22T11:56:38;2026-08-21T21:35:52
18;biathlète psitt;hier de façon à ce que main-d’œuvre;par suite de;bof conseil municipal avant de;raide diététiste responsable;OPEN;0635437184;via;6;27641;paf derrière;rapporter tranquille au dépens de;25120.06;791.29;true;2026-08-22T17:01:25;2026-08-21T20:25:54
19;prout;étant donné que;hormis afin que;antique avant que fade;grâce à ouah communauté étudiante;OPEN;+33 545876454;résulter diététiste;21131;18681;brusque éliminer tant;insipide ha ha guide;8544.77;14570.22;false;2026-08-21T21:06:07;2026-08-22T01:31:53
20;cot cot membre titulaire adorable;foule;triathlète sous couleur de détester;si;lectorat blablabla;CLOSED;+33 183637695;avant que;26050;1047;neutre;guide meuh adversaire;31865.91;7818.34;false;2026-08-22T12:54:49;2026-08-22T08:51:27
21;personnel professionnel rudement faire;entamer dorénavant;autrefois juriste sans que;équilibrer où;biathlète encore;CLOSED;0492792829;diététiste gêner;4140;5033;à partir de;après que;1411.81;24271.71;false;2026-08-22T12:02:31;2026-08-21T23:02:26
22;entre mal;loin;cultiver parce que;de la part de d'entre;avant-hier tchou tchouu redouter;OPEN;0688933625;tic-tac;11628;7999;également à l'entour de comprendre;ronron antagoniste;8568.02;13034.46;true;2026-08-22T00:20:57;2026-08-21T20:45:37
23;bzzz fourbe;vide coupable ouille;habile;imprimer partenaire;envers de peur de;CLOSED;0640780925;crac;25711;20363;conseiller à la faveur de;compliquer longtemps membre titulaire;19272.33;20594.45;true;2026-08-22T11:50:43;2026-08-22T09:49:17
24;achever hirsute carrément;tôt avant;hi;correspondre écrire extatique;grrr oups inscrire;OPEN;+33 337604795;juriste simple;27206;29279;areu areu;psitt électorat;22386.32;11861.41;false;2026-08-21T23:08:03;2026-08-21T18:45:24
25;miaou triathlète;porte-parole lorsque dehors;jusqu’à ce que aujourd'hui;ding ha;patientèle;CLOSED;0107445860;durant;11452;29058;sitôt que personnel professionnel à seule fin de;actionnaire proche de bang;4237.75;9778.36;true;2026-08-22T00:13:52;2026-08-22T08:23:00
26;désormais;vlan drôlement;balancer parmi énorme;devoir délectable si;antique hé;OPEN;+33 230740371;gai dans la mesure où fade;7746;6380;hirsute lunatique;brusque mince autour de;14366.24;18537.64;true;2026-08-22T12:18:06;2026-08-21T22:48:56
27;mener là mature;minuscule;au-dessous de afin que;derrière triste déranger;derrière opposer;CLOSED;+33 172958099;d'après;23534;12312;lire sous rassembler;au-dessus de à l'instar de;25414.88;3322.71;true;2026-08-22T13:00:47;2026-08-22T04:30:26
28;maintenant à raison de;sombre;à peine calme émérite;alors que patientèle;loufoque snob;CLOSED;0547398123;minuscule hurler athlète;6664;26597;guide en guise de hi;sincère;11926.47;5623.75;true;2026-08-22T03:54:27;2026-08-22T15:27:43
29;ajouter de façon à ce que;hebdomadaire;adhérer;vétuste y;membre du personnel tandis que au point que;OPEN;+33 148680681;puisque secours;29164;25410;tchou tchouu;quoique;15510.62;1609.78;false;2026-08-22T03:47:48;2026-08-22T03:19:07
30;à défaut de sitôt que charitable;sans que là à l'exception de;rapide dynamique sympathique;conseil municipal demain;à défaut de solitaire placide;OPEN;0622865020;en outre de;3110;5511;favoriser pour;perdre oups vivace;1032.33;7576.19;false;2026-08-21T21:49:20;2026-08-22T15:33:43
